"cohort","schoolid_ulcs","schoolname","sector","rate_type","group","subgroup","denom","num","score","lat","long"
"2019-2020",8190,"One Bright Ray - Fairhill Campus","Alternative","4-Year Graduation Rate","All Students","All Students",102,"20","19.61",39.99376434,-75.13801882
"2019-2020",8450,"YESPhilly","Alternative","4-Year Graduation Rate","All Students","All Students",50,"7","14",39.9944643,-75.1541276
"2019-2020",8460,"Philadelphia Learning Academy West","Alternative","4-Year Graduation Rate","All Students","All Students",26,"11","42.31",39.96971371,-75.21013521
"2019-2020",8470,"Philadelphia Learning Academy North","Alternative","4-Year Graduation Rate","All Students","All Students",35,"19","54.29",40.01425525,-75.12599679
"2019-2020",8540,"Pennypack House School","Alternative","4-Year Graduation Rate","All Students","All Students",57,"12","21.05",40.032021,-75.019689
"2019-2020",8560,"The Workshop School","District","4-Year Graduation Rate","All Students","All Students",38,"32","84.21",39.95530589,-75.21855329
"2019-2020",8780,"Philadelphia Virtual Academy","District","4-Year Graduation Rate","All Students","All Students",174,"95","54.6",39.96102159,-75.16264405
"2019-2020",8860,"One Bright Ray Mansion","Alternative","4-Year Graduation Rate","All Students","All Students",37,"10","27.03",39.99074371,-75.18402464
"2019-2020",8870,"One Bright Ray Mansion Evening","Alternative","4-Year Graduation Rate","All Students","All Students",49,"14","28.57",39.99074371,-75.18402464
"2019-2020",8890,"One Bright Ray - Simpson Campus","Alternative","4-Year Graduation Rate","All Students","All Students",121,"29","23.97",40.00528,-75.10560096
"2019-2020",8891,"One Bright Ray Simpson - Evening","Alternative","4-Year Graduation Rate","All Students","All Students",20,"5","25",40.0052609283134,-75.1056083716772
